distance_km,traffic_level,weather,order_hour,delivery_time
6.243561663863074,low,clear,0,28.789556306725437
14.310000289738827,low,rainy,0,56.613572175038534
11.247915185359671,high,clear,18,59.80254124622989
9.381218778758512,low,clear,4,40.20968782521394
3.1842609661941115,low,clear,12,22.492352306554746
3.183923284706837,medium,clear,18,29.135203454602475
1.8131705703547925,medium,clear,11,21.024681473927636
13.126466040849092,medium,clear,15,52.53396874973194
9.415610164404923,low,clear,18,45.43969961696692
10.913016089144637,medium,clear,2,49.12698329784266
1.2881829201412343,low,clear,11,17.883640579474285
14.57873793026792,low,clear,4,55.299135582519305
12.654196971205904,high,clear,1,58.040811642485636
3.972747549495866,low,clear,21,27.97898077030598
3.5455495408994087,medium,clear,6,27.612691969729937
3.5676631379480734,medium,clear,12,32.78194704209491
5.259391401433528,low,rainy,14,35.22448990851911
8.346590042851329,high,rainy,21,56.247094723843034
7.047230260989621,low,clear,2,28.86241654475084
5.077207962772587,medium,clear,20,38.44108787659549
9.565940526113312,high,clear,19,56.94357922602402
2.9529140491285855,medium,clear,4,22.216304898968332
5.090025079493055,high,clear,23,37.52445311599341
6.129065806111684,low,rainy,7,34.139822791533
7.384979779038503,medium,clear,21,40.20977639918414
11.99246345950219,low,rainy,0,52.04975826641978
3.7954329502170365,medium,clear,7,26.767689426091987
8.199282137790561,high,clear,23,50.460352602675485
9.293803964068594,low,clear,17,36.57003684067324
1.6503057780799681,medium,clear,19,21.532118685849227
9.505627926620138,low,clear,15,36.41897630914846
3.3873377316220816,medium,clear,17,23.3767183480018
1.9107223017939132,medium,clear,19,24.878312553315947
14.284397521546666,high,rainy,11,68.7601851063857
14.518848463043831,medium,clear,12,65.20078940076937
12.317562873630456,low,rainy,12,55.72062309487241
5.26459276842719,low,rainy,9,31.83381424188003
2.367409596089374,low,clear,6,21.10261315531247
10.579262371170197,low,clear,13,47.84492365703784
7.162134912354418,low,clear,23,32.38791876048797
2.7085352878269036,high,rainy,15,39.840238264971035
7.932476741557783,medium,clear,14,46.288729353147296
1.4814392956130575,medium,clear,11,20.57456662154438
13.73048562910295,low,clear,8,50.57000318741991
4.622919742400237,high,clear,7,35.823381477621126
10.275311980955747,medium,clear,17,45.68332820753483
5.363955065251753,low,clear,22,25.289014100611045
